-1.0	0.5	0.4
-0.95	0.625	0.47000000000000003
-0.9	0.75	0.54
-0.85	0.875	0.61
-0.8	1.0	0.6799999999999999
-0.75	1.125	0.75
-0.7	1.25	0.82
-0.6499999999999999	1.375	0.8899999999999999
-0.6	1.5	0.96
-0.55	1.625	1.0299999999999998
-0.5	1.75	1.1
-0.44999999999999996	1.875	1.17
-0.3999999999999999	2.0	1.2399999999999998
-0.35	2.125	1.31
-0.29999999999999993	2.25	1.38
-0.25	2.375	1.4499999999999997
-0.19999999999999996	2.5	1.52
-0.1499999999999999	2.625	1.5899999999999999
-0.09999999999999998	2.75	1.6599999999999997
-0.04999999999999993	2.875	1.73
0.0	3.0	1.8
