-1.0	1.0	0.5
-0.9	1.2	0.575
-0.8	1.4	0.65
-0.7	1.6	0.725
-0.6	1.8	0.8
-0.5	2.0	0.875
-0.3999999999999999	2.2	0.95
-0.29999999999999993	2.4000000000000004	1.025
-0.19999999999999996	2.6	1.1
-0.09999999999999998	2.8	1.1749999999999998
0.0	3.0	1.25
0.10000000000000009	3.2	1.325
0.20000000000000018	3.4000000000000004	1.4
0.30000000000000004	3.6	1.475
0.40000000000000013	3.8000000000000003	1.55
0.5	4.0	1.625
0.6000000000000001	4.2	1.7
0.7000000000000002	4.4	1.775
0.8	4.6	1.8499999999999999
0.9000000000000001	4.800000000000001	1.925
1.0	5.0	2.0
